specification_id;kv2;supplier;type_cost
5131;KV2000000131;Lineage Logistics;75.0
5132;KV2000000132;EODIS North America;325.99
5133;KV2000000133;EODIS North America;175.0
5134;KV2000000134;Ryder Supply Chain Solutions;200.99
5135;KV2000000135;Americold;475.0
5136;KV2000000136;FedEx Supply Chain;475.99
5137;KV2000000137;FedEx Supply Chain;325.0
5138;KV2000000138;EODIS North America;450.0
5139;KV2000000139;Ryder Supply Chain Solutions;325.99
5140;KV2000000140;EODIS North America;25.99
5141;KV2000000141;Ryder Supply Chain Solutions;125.0
5142;KV2000000142;GXO Logistics;450.99
5143;KV2000000143;FedEx Supply Chain;450.0
5144;KV2000000144;Americold;350.0
5145;KV2000000145;Ryder Supply Chain Solutions;25.0
5146;KV2000000146;GXO Logistics;400.99
5147;KV2000000147;EODIS North America;100.99
5148;KV2000000148;Lineage Logistics;225.0
5149;KV2000000149;FedEx Supply Chain;275.0
5150;KV2000000150;EODIS North America;400.0
5151;KV2000000151;Lineage Logistics;150.0
5152;KV2000000152;Ryder Supply Chain Solutions;300.0
5153;KV2000000153;DHL Supply Chain;300.0
5154;KV2000000154;Americold;450.0
5155;KV2000000155;EODIS North America;375.99
5156;KV2000000156;Americold;25.0
5157;KV2000000157;Lineage Logistics;200.0
5158;KV2000000158;Lineage Logistics;350.0
5159;KV2000000159;Americold;475.99
5160;KV2000000160;Lineage Logistics;25.99
5161;KV2000000161;Kenco Logistic Services LLC;350.0
5162;KV2000000162;Ryder Supply Chain Solutions;325.0
5163;KV2000000163;FedEx Supply Chain;75.0
5164;KV2000000164;Lineage Logistics;350.99
5165;KV2000000165;EODIS North America;375.0
5166;KV2000000166;FedEx Supply Chain;150.99
5167;KV2000000167;FedEx Supply Chain;125.0
5168;KV2000000168;Lineage Logistics;325.99
5169;KV2000000169;Kenco Logistic Services LLC;125.99
5170;KV2000000170;Lineage Logistics;150.0
5171;KV2000000171;Kenco Logistic Services LLC;350.0
5172;KV2000000172;Americold;325.99
5173;KV2000000173;Americold;325.99
5174;KV2000000174;Americold;450.0
5175;KV2000000175;EODIS North America;175.0
5176;KV2000000176;DHL Supply Chain;100.99
5177;KV2000000177;Lineage Logistics;275.99
5178;KV2000000178;Ryder Supply Chain Solutions;25.0
5179;KV2000000179;Ryder Supply Chain Solutions;225.99
5180;KV2000000180;GXO Logistics;250.99
5181;KV2000000181;Kenco Logistic Services LLC;200.0
5182;KV2000000182;Kenco Logistic Services LLC;50.99
6071;KV2000000183;GXO Logistics;150.0
6072;KV2000000184;DHL Supply Chain;300.0
6073;KV2000000185;DHL Supply Chain;350.99
6074;KV2000000186;Lineage Logistics;325.99
6075;KV2000000187;Americold;325.0
6076;KV2000000188;Kenco Logistic Services LLC;475.0
6077;KV2000000189;Kenco Logistic Services LLC;200.99
6078;KV2000000190;DHL Supply Chain;225.99
6079;KV2000000191;Kenco Logistic Services LLC;325.0
6080;KV2000000192;EODIS North America;250.99
6081;KV2000000193;Americold;400.0
6082;KV2000000194;Lineage Logistics;300.99
6083;KV2000000195;DHL Supply Chain;350.99
6084;KV2000000196;GXO Logistics;425.0
6085;KV2000000197;Ryder Supply Chain Solutions;25.0
6086;KV2000000198;Kenco Logistic Services LLC;350.0
6087;KV2000000199;DHL Supply Chain;75.0
6088;KV2000000200;DHL Supply Chain;425.99
6089;KV2000000201;Ryder Supply Chain Solutions;100.0
6090;KV2000000202;DHL Supply Chain;450.99
6091;KV2000000203;GXO Logistics;25.99
6092;KV2000000204;Lineage Logistics;150.0
6093;KV2000000205;EODIS North America;275.0
6094;KV2000000206;FedEx Supply Chain;175.99
6095;KV2000000207;FedEx Supply Chain;50.0
6096;KV2000000208;Americold;325.99
6097;KV2000000209;Ryder Supply Chain Solutions;75.0
6098;KV2000000210;Kenco Logistic Services LLC;0.99
6099;KV2000000211;Americold;75.0
6100;KV2000000212;Lineage Logistics;375.99
6101;KV2000000213;GXO Logistics;400.99
6102;KV2000000214;Lineage Logistics;350.99
6103;KV2000000215;FedEx Supply Chain;450.99
6104;KV2000000216;EODIS North America;200.0
6105;KV2000000217;DHL Supply Chain;225.99
6106;KV2000000218;FedEx Supply Chain;300.0
6107;KV2000000219;FedEx Supply Chain;175.0
6108;KV2000000220;Kenco Logistic Services LLC;25.99
6109;KV2000000221;Kenco Logistic Services LLC;300.0
6110;KV2000000222;GXO Logistics;25.99
6111;KV2000000223;Americold;125.99
6112;KV2000000224;FedEx Supply Chain;250.99
6113;KV2000000225;GXO Logistics;475.99
6114;KV2000000226;Lineage Logistics;75.0
6115;KV2000000227;Ryder Supply Chain Solutions;325.0
6116;KV2000000228;Kenco Logistic Services LLC;225.0
6117;KV2000000229;EODIS North America;300.99
6118;KV2000000230;Americold;175.0
6119;KV2000000231;GXO Logistics;225.99
6120;KV2000000232;Kenco Logistic Services LLC;400.0
6121;KV2000000233;Americold;300.99
6122;KV2000000234;EODIS North America;275.99
6123;KV2000000235;EODIS North America;475.0
6124;KV2000000236;FedEx Supply Chain;425.0
6125;KV2000000237;Kenco Logistic Services LLC;300.99
6126;KV2000000238;Kenco Logistic Services LLC;225.0
6127;KV2000000239;EODIS North America;175.99
6128;KV2000000240;EODIS North America;300.0
6129;KV2000000241;GXO Logistics;225.99
6130;KV2000000242;Kenco Logistic Services LLC;100.0
6131;KV2000000243;EODIS North America;225.99
6132;KV2000000244;Americold;425.99
6133;KV2000000245;GXO Logistics;50.99
6134;KV2000000246;Kenco Logistic Services LLC;200.99
6135;KV2000000247;EODIS North America;400.0
6136;KV2000000248;Ryder Supply Chain Solutions;425.99
6137;KV2000000249;Lineage Logistics;425.0
6138;KV2000000250;DHL Supply Chain;275.99
6139;KV2000000251;Ryder Supply Chain Solutions;325.0
6140;KV2000000252;EODIS North America;450.0
6141;KV2000000253;FedEx Supply Chain;475.0
6142;KV2000000254;Americold;275.99
6143;KV2000000255;Ryder Supply Chain Solutions;275.99
6144;KV2000000256;Americold;275.99
6145;KV2000000257;Ryder Supply Chain Solutions;400.0
6146;KV2000000258;Lineage Logistics;400.99
6147;KV2000000259;Kenco Logistic Services LLC;450.0
6148;KV2000000260;DHL Supply Chain;125.99
6149;KV2000000261;EODIS North America;250.0
6150;KV2000000262;DHL Supply Chain;0.99
6151;KV2000000263;Americold;175.99
6152;KV2000000264;Americold;475.99
6153;KV2000000265;Ryder Supply Chain Solutions;350.0
6154;KV2000000266;DHL Supply Chain;275.99
6155;KV2000000267;GXO Logistics;100.0
6156;KV2000000268;GXO Logistics;100.0
6157;KV2000000269;Kenco Logistic Services LLC;300.99
6158;KV2000000270;GXO Logistics;325.99
6159;KV2000000271;Americold;375.99
6160;KV2000000272;DHL Supply Chain;400.0
6161;KV2000000273;Ryder Supply Chain Solutions;300.99
6162;KV2000000274;Ryder Supply Chain Solutions;75.99
6163;KV2000000275;Americold;425.99
6164;KV2000000276;FedEx Supply Chain;100.0
6165;KV2000000277;EODIS North America;50.0
6166;KV2000000278;Kenco Logistic Services LLC;50.99
6167;KV2000000279;Ryder Supply Chain Solutions;400.99
6168;KV2000000280;Lineage Logistics;125.0
6169;KV2000000281;GXO Logistics;400.99
6170;KV2000000282;DHL Supply Chain;100.0
6171;KV2000000283;FedEx Supply Chain;375.0
6172;KV2000000284;EODIS North America;0.99
6173;KV2000000285;Americold;100.0
6174;KV2000000286;Lineage Logistics;375.99
6175;KV2000000287;Kenco Logistic Services LLC;450.99
6176;KV2000000288;DHL Supply Chain;325.99
6177;KV2000000289;DHL Supply Chain;200.99
6178;KV2000000290;Kenco Logistic Services LLC;450.99
6179;KV2000000291;GXO Logistics;350.0
6180;KV2000000292;Lineage Logistics;300.0
6181;KV2000000293;DHL Supply Chain;0.99
6182;KV2000000294;FedEx Supply Chain;150.0
6183;KV2000000295;Ryder Supply Chain Solutions;250.99
6184;KV2000000296;Lineage Logistics;300.0
6185;KV2000000297;Kenco Logistic Services LLC;275.99
6186;KV2000000298;DHL Supply Chain;400.0
6187;KV2000000299;FedEx Supply Chain;225.99
6188;KV2000000300;EODIS North America;250.99
6189;KV2000000301;Lineage Logistics;425.0
6190;KV2000000302;EODIS North America;100.0
6191;KV2000000303;Americold;100.99
6192;KV2000000304;FedEx Supply Chain;0.99
6193;KV2000000305;FedEx Supply Chain;100.0
6194;KV2000000306;Ryder Supply Chain Solutions;475.0
6195;KV2000000307;FedEx Supply Chain;325.99
6196;KV2000000308;Ryder Supply Chain Solutions;300.99
6197;KV2000000309;DHL Supply Chain;350.99
6198;KV2000000310;Americold;325.0
6199;KV2000000311;Ryder Supply Chain Solutions;250.0
6200;KV2000000312;EODIS North America;75.99
6201;KV2000000313;Lineage Logistics;275.0
6202;KV2000000314;Americold;275.0
6203;KV2000000315;Americold;125.0
6204;KV2000000316;Lineage Logistics;350.0
6205;KV2000000317;GXO Logistics;250.99
6206;KV2000000318;Lineage Logistics;325.99
6207;KV2000000319;Ryder Supply Chain Solutions;250.0
6208;KV2000000320;Americold;25.0
6209;KV2000000321;FedEx Supply Chain;325.0
6210;KV2000000322;Americold;25.0
6211;KV2000000323;Lineage Logistics;425.0
6212;KV2000000324;DHL Supply Chain;125.99
6213;KV2000000325;Kenco Logistic Services LLC;375.0
6214;KV2000000326;Lineage Logistics;325.99
6215;KV2000000327;EODIS North America;150.99
6216;KV2000000328;FedEx Supply Chain;300.99
6217;KV2000000329;Americold;275.99
6218;KV2000000330;Lineage Logistics;125.0
6219;KV2000000331;FedEx Supply Chain;375.0
6220;KV2000000332;Ryder Supply Chain Solutions;325.99
6221;KV2000000333;FedEx Supply Chain;175.0
6222;KV2000000334;Lineage Logistics;75.0
6223;KV2000000335;DHL Supply Chain;425.0
6224;KV2000000336;EODIS North America;300.99
6225;KV2000000337;Lineage Logistics;50.99
6226;KV2000000338;FedEx Supply Chain;375.99
6227;KV2000000339;FedEx Supply Chain;150.0
6228;KV2000000340;DHL Supply Chain;350.99
6229;KV2000000341;Americold;75.99
6230;KV2000000342;Americold;75.0
6231;KV2000000343;EODIS North America;450.0
6232;KV2000000344;Lineage Logistics;425.0
6233;KV2000000345;Kenco Logistic Services LLC;200.99
6234;KV2000000346;Americold;25.0
6235;KV2000000347;DHL Supply Chain;475.99
6236;KV2000000348;Kenco Logistic Services LLC;225.99
6237;KV2000000349;DHL Supply Chain;325.0
6238;KV2000000350;FedEx Supply Chain;25.0
6239;KV2000000351;DHL Supply Chain;325.99
6240;KV2000000352;GXO Logistics;400.99
6241;KV2000000353;EODIS North America;175.0
6242;KV2000000354;GXO Logistics;375.99
6243;KV2000000355;DHL Supply Chain;325.99
6244;KV2000000356;GXO Logistics;100.0
6245;KV2000000357;GXO Logistics;175.99
6246;KV2000000358;Lineage Logistics;450.0
6247;KV2000000359;Lineage Logistics;250.99
6248;KV2000000360;Ryder Supply Chain Solutions;275.99
6249;KV2000000361;FedEx Supply Chain;75.99
6250;KV2000000362;EODIS North America;150.0
6251;KV2000000363;DHL Supply Chain;150.0
6252;KV2000000364;Lineage Logistics;225.99
6253;KV2000000365;GXO Logistics;350.0
6254;KV2000000366;Ryder Supply Chain Solutions;50.99
6255;KV2000000367;Americold;300.99
6256;KV2000000368;Ryder Supply Chain Solutions;375.0
6257;KV2000000369;Lineage Logistics;275.0
6258;KV2000000370;EODIS North America;275.99
6259;KV2000000371;DHL Supply Chain;400.0
6260;KV2000000372;Ryder Supply Chain Solutions;225.99
6261;KV2000000373;Americold;300.0
6262;KV2000000374;Ryder Supply Chain Solutions;250.99
6263;KV2000000375;EODIS North America;225.99
6264;KV2000000376;Americold;200.99
6265;KV2000000377;Kenco Logistic Services LLC;200.0
6266;KV2000000378;GXO Logistics;75.0
6267;KV2000000379;DHL Supply Chain;250.99
6268;KV2000000380;Kenco Logistic Services LLC;450.99
6269;KV2000000381;GXO Logistics;25.0
6270;KV2000000382;FedEx Supply Chain;375.0
6271;KV2000000383;GXO Logistics;225.99
6272;KV2000000384;Americold;375.99
6273;KV2000000385;FedEx Supply Chain;275.99
6274;KV2000000386;EODIS North America;325.99
6275;KV2000000387;DHL Supply Chain;175.99
6276;KV2000000388;FedEx Supply Chain;450.99
6277;KV2000000389;Lineage Logistics;450.0
6278;KV2000000390;Kenco Logistic Services LLC;150.99
6279;KV2000000391;FedEx Supply Chain;450.99
6280;KV2000000392;EODIS North America;75.0
6281;KV2000000393;Kenco Logistic Services LLC;250.0
6282;KV2000000394;Kenco Logistic Services LLC;0.99
6283;KV2000000395;Americold;50.0
6284;KV2000000396;Lineage Logistics;300.0
6285;KV2000000397;DHL Supply Chain;50.99
6286;KV2000000398;Lineage Logistics;25.99
6287;KV2000000399;Ryder Supply Chain Solutions;200.0
6288;KV2000000400;Ryder Supply Chain Solutions;475.0
6289;KV2000000401;GXO Logistics;125.99
6290;KV2000000402;Kenco Logistic Services LLC;275.0
6291;KV2000000403;FedEx Supply Chain;125.99
6292;KV2000000404;EODIS North America;325.0
6293;KV2000000405;Lineage Logistics;475.99
6294;KV2000000406;EODIS North America;250.99
6295;KV2000000407;EODIS North America;400.0
6296;KV2000000408;GXO Logistics;50.0
6297;KV2000000409;DHL Supply Chain;400.99
6298;KV2000000410;Kenco Logistic Services LLC;150.0
6299;KV2000000411;Kenco Logistic Services LLC;75.99
6300;KV2000000412;FedEx Supply Chain;150.0
6301;KV2000000413;EODIS North America;425.99
6302;KV2000000414;FedEx Supply Chain;25.0
6303;KV2000000415;Americold;175.0
6304;KV2000000416;Americold;425.0
6305;KV2000000417;EODIS North America;375.99
6306;KV2000000418;Lineage Logistics;400.99
6307;KV2000000419;Americold;450.99
6308;KV2000000420;DHL Supply Chain;200.99
6309;KV2000000421;Kenco Logistic Services LLC;175.99
6310;KV2000000422;Americold;250.0
6311;KV2000000423;Americold;300.99
6312;KV2000000424;Lineage Logistics;225.99
6313;KV2000000425;EODIS North America;125.99
6314;KV2000000426;Americold;225.0
6315;KV2000000427;FedEx Supply Chain;225.99
6316;KV2000000428;DHL Supply Chain;75.99
6317;KV2000000429;Americold;225.0
6318;KV2000000430;GXO Logistics;475.0
6319;KV2000000431;Kenco Logistic Services LLC;375.99
6320;KV2000000432;Ryder Supply Chain Solutions;50.99
6321;KV2000000433;DHL Supply Chain;175.0
6322;KV2000000434;Kenco Logistic Services LLC;100.0
6323;KV2000000435;DHL Supply Chain;175.0
6324;KV2000000436;Kenco Logistic Services LLC;275.0
6325;KV2000000437;Lineage Logistics;200.99
6326;KV2000000438;Lineage Logistics;300.0
6327;KV2000000439;Americold;25.99
6328;KV2000000440;Americold;425.0
6329;KV2000000441;Lineage Logistics;275.99
6330;KV2000000442;Kenco Logistic Services LLC;225.99
6331;KV2000000443;GXO Logistics;475.99
6332;KV2000000444;Kenco Logistic Services LLC;175.99
6333;KV2000000445;Kenco Logistic Services LLC;300.99
6334;KV2000000446;DHL Supply Chain;375.99
6335;KV2000000447;Lineage Logistics;350.0
6336;KV2000000448;GXO Logistics;175.0
6337;KV2000000449;EODIS North America;250.0
6338;KV2000000450;EODIS North America;325.99
6339;KV2000000451;Americold;75.0
6340;KV2000000452;Lineage Logistics;225.99
6341;KV2000000453;DHL Supply Chain;50.99
6342;KV2000000454;Americold;25.99
6343;KV2000000455;EODIS North America;50.99
6344;KV2000000456;Lineage Logistics;100.0
6345;KV2000000457;EODIS North America;150.0
6346;KV2000000458;EODIS North America;125.0
6347;KV2000000459;FedEx Supply Chain;150.0
6348;KV2000000460;FedEx Supply Chain;100.0
6349;KV2000000461;EODIS North America;375.99
6350;KV2000000462;Ryder Supply Chain Solutions;475.0
6351;KV2000000463;Kenco Logistic Services LLC;200.0
6352;KV2000000464;Lineage Logistics;300.0
6353;KV2000000465;DHL Supply Chain;275.0
6354;KV2000000466;GXO Logistics;300.0
6355;KV2000000467;Ryder Supply Chain Solutions;350.99
6356;KV2000000468;DHL Supply Chain;425.99
6357;KV2000000469;GXO Logistics;100.0
6358;KV2000000470;Ryder Supply Chain Solutions;125.99
6359;KV2000000471;EODIS North America;50.0
6360;KV2000000472;GXO Logistics;225.0
6361;KV2000000473;Ryder Supply Chain Solutions;100.99
6362;KV2000000474;EODIS North America;450.0
6363;KV2000000475;Kenco Logistic Services LLC;225.0
6364;KV2000000476;FedEx Supply Chain;125.0
6365;KV2000000477;DHL Supply Chain;325.99
6366;KV2000000478;Americold;50.99
5183;KV2000000479;FedEx Supply Chain;300.99
5184;KV2000000480;Kenco Logistic Services LLC;350.0
5185;KV2000000481;FedEx Supply Chain;400.99
5186;KV2000000482;EODIS North America;125.0
5187;KV2000000483;Kenco Logistic Services LLC;50.99
5188;KV2000000484;Kenco Logistic Services LLC;225.0
5189;KV2000000485;Kenco Logistic Services LLC;375.0
5190;KV2000000486;EODIS North America;100.99
5191;KV2000000487;FedEx Supply Chain;125.99
5192;KV2000000488;Ryder Supply Chain Solutions;475.0
5193;KV2000000489;EODIS North America;425.0
5194;KV2000000490;Lineage Logistics;250.99
5195;KV2000000491;GXO Logistics;50.99
5196;KV2000000492;EODIS North America;475.0
5197;KV2000000493;Lineage Logistics;475.0
5198;KV2000000494;GXO Logistics;25.0
5199;KV2000000495;EODIS North America;125.99
5200;KV2000000496;FedEx Supply Chain;100.0
5201;KV2000000497;Lineage Logistics;425.99
5202;KV2000000498;Americold;125.0
5203;KV2000000499;GXO Logistics;125.0
5204;KV2000000500;Kenco Logistic Services LLC;300.99
5205;KV2000000501;Americold;100.99
5206;KV2000000502;Lineage Logistics;50.99
5207;KV2000000503;Kenco Logistic Services LLC;200.99
5208;KV2000000504;Ryder Supply Chain Solutions;200.0
5209;KV2000000505;GXO Logistics;50.99
5210;KV2000000506;Kenco Logistic Services LLC;100.0
5211;KV2000000507;Lineage Logistics;200.0
5212;KV2000000508;Americold;325.0
5213;KV2000000509;EODIS North America;225.99
5214;KV2000000510;FedEx Supply Chain;250.0
5215;KV2000000511;FedEx Supply Chain;325.99
5216;KV2000000512;DHL Supply Chain;150.0
5217;KV2000000513;Lineage Logistics;450.99
5218;KV2000000514;FedEx Supply Chain;50.0
5219;KV2000000515;DHL Supply Chain;50.0
5220;KV2000000516;Ryder Supply Chain Solutions;275.99
5221;KV2000000517;FedEx Supply Chain;50.0
5222;KV2000000518;Lineage Logistics;225.0
5223;KV2000000519;DHL Supply Chain;350.99
5224;KV2000000520;GXO Logistics;450.99
5225;KV2000000521;EODIS North America;300.99
5226;KV2000000522;Lineage Logistics;125.0
5227;KV2000000523;FedEx Supply Chain;100.0
5228;KV2000000524;Ryder Supply Chain Solutions;400.0
5229;KV2000000525;Lineage Logistics;200.0
5230;KV2000000526;Ryder Supply Chain Solutions;25.0
5231;KV2000000527;Kenco Logistic Services LLC;350.99
5232;KV2000000528;EODIS North America;175.0
5233;KV2000000529;FedEx Supply Chain;125.0
5234;KV2000000530;Kenco Logistic Services LLC;350.99
5235;KV2000000531;Kenco Logistic Services LLC;200.0
5236;KV2000000532;DHL Supply Chain;250.99
5237;KV2000000533;FedEx Supply Chain;175.0
5238;KV2000000534;GXO Logistics;100.0
5239;KV2000000535;Ryder Supply Chain Solutions;225.0
5240;KV2000000536;Ryder Supply Chain Solutions;25.99
5241;KV2000000537;Ryder Supply Chain Solutions;300.99
5242;KV2000000538;EODIS North America;450.99
5243;KV2000000539;Ryder Supply Chain Solutions;225.99
5244;KV2000000540;Ryder Supply Chain Solutions;0.99
5245;KV2000000541;Americold;0.99
5246;KV2000000542;Kenco Logistic Services LLC;75.99
5247;KV2000000543;Ryder Supply Chain Solutions;25.0
5248;KV2000000544;Kenco Logistic Services LLC;425.0
5249;KV2000000545;Lineage Logistics;125.99
5250;KV2000000546;Kenco Logistic Services LLC;400.0
5251;KV2000000547;Kenco Logistic Services LLC;275.99
5252;KV2000000548;Lineage Logistics;475.0
5253;KV2000000549;Ryder Supply Chain Solutions;475.99
5254;KV2000000550;FedEx Supply Chain;225.99
5255;KV2000000551;Americold;225.99
5256;KV2000000552;EODIS North America;350.99
5257;KV2000000553;FedEx Supply Chain;475.0
5258;KV2000000554;EODIS North America;350.0
5259;KV2000000555;EODIS North America;0.99
5260;KV2000000556;DHL Supply Chain;300.0
5261;KV2000000557;Kenco Logistic Services LLC;25.0
5262;KV2000000558;Kenco Logistic Services LLC;125.0
5263;KV2000000559;FedEx Supply Chain;100.0
5264;KV2000000560;DHL Supply Chain;125.99
5265;KV2000000561;Americold;100.0
5266;KV2000000562;Ryder Supply Chain Solutions;175.0
5267;KV2000000563;DHL Supply Chain;225.99
5268;KV2000000564;FedEx Supply Chain;225.0
5269;KV2000000565;Lineage Logistics;300.0
5270;KV2000000566;Lineage Logistics;150.99
5271;KV2000000567;DHL Supply Chain;75.99
5272;KV2000000568;Kenco Logistic Services LLC;150.99
5273;KV2000000569;Americold;100.0
5274;KV2000000570;Americold;375.99
5275;KV2000000571;Lineage Logistics;225.99
5276;KV2000000572;DHL Supply Chain;50.0
5277;KV2000000573;Lineage Logistics;250.99
5278;KV2000000574;Americold;275.99
5279;KV2000000575;Kenco Logistic Services LLC;50.0
5280;KV2000000576;Lineage Logistics;400.99
5281;KV2000000577;Lineage Logistics;175.0
5282;KV2000000578;EODIS North America;375.0
5283;KV2000000579;Americold;375.99
5284;KV2000000580;Kenco Logistic Services LLC;400.0
5285;KV2000000581;FedEx Supply Chain;50.0
5286;KV2000000582;FedEx Supply Chain;100.0
5287;KV2000000583;Americold;125.0
5288;KV2000000584;EODIS North America;450.0
5289;KV2000000585;Ryder Supply Chain Solutions;475.0
5290;KV2000000586;EODIS North America;325.99
